Index,Country,Exchange,Ticker,Name,Market Cap ($MM)
0,US,NASDAQ,SRCE,1st Source Corp.,"1,046.84"
1,US,NASDAQ,ACNB,ACNB Corp.,276.07
2,US,NYSE,ACP.PRA,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,
3,US,NASDAQ,ALRS,Alerus Financial Corp,356.79
4,US,NASDAQ,ABTX,Allegiance Bancshares Inc,
5,US,NYSE,ALLY,Ally Financial Inc,"8,010.85"
6,US,NASDAQ,ALTA,Altabancorp,
7,US,NASDAQ,AMAL,Amalgamated Financial Corp,493.46
8,US,NASDAQ,AMTB,Amerant Bancorp Inc - Class A,598.31
9,US,NASDAQ,AMNB,American National Bankshares Inc.,305.50
10,US,NASDAQ,ABCB,Ameris Bancorp,"2,378.81"
11,US,NASDAQ,ASRV,Ameriserv Financial Inc,44.15
12,US,NASDAQ,ATLO,Ames National Corp.,165.01
13,US,NASDAQ,AROW,Arrow Financial Corp.,328.38
14,US,NYSE,ASB.PRE,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of 5.875% Non",
15,US,NYSE,ASB.PRF,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of Associated",
16,US,NYSE,ASB,Associated Banc-Corp.,"2,542.13"
17,US,NASDAQ,ACBI,Atlantic Capital Bancshares Inc,
18,US,NASDAQ,AUB,Atlantic Union Bankshares Corp,"1,974.61"
19,US,NYSE,AUB.PRA,"Atlantic Union Bankshares Corp Depositary Shares, Each Representing a 1/400th Interest in a Share of 6.875% Perpetual Non-Cumulative Preferred Stock, Series A",
20,US,NASDAQ,AUBN,Auburn National Bancorp Inc.,
21,US,NYSE,BAC.PRB,BAC Capital Trust X,
22,ES,,BBVASM,BANCO BILBAO VIZCAYA ARG JR SUBORDINA REGS 12/99 VAR,
23,CA,TSX,BMO,BANK OF MONTREAL (CHICAGO),"84,967.37"
24,FR,,BFCCS,BANQUE FED CRED MUTUEL /EUR/ REGD REG S EMTN 0.75000000,
25,GB,,88HI,BARCLAYS PLC SR UNSECURED REGS 10/23 VAR,
26,US,NYSE,BBAR,BBVA Argentina - ADR,
27,US,NASDAQ,BANFP,BFC Capital Trust II - 7.20% PFS REDEEM 31/03/2034 USD 25,
28,IT,MTA,BFF,BFF Bank SpA,
29,US,AMEX,BMTX,BM Technologies Inc - Class A,36.37
30,US,NASDAQ,BOKF,BOK Financial Corp.,"5,547.85"
31,US,NASDAQ,BLMT,"BSB Bancorp, Inc.",
32,US,NYSE,BANC,Banc of California Inc,686.70
33,US,NASDAQ,BANF,Bancfirst Corp.,"3,101.44"
34,ES,XMAD,BBVA,Banco Bilbao Vizcaya Argentaria SA,
35,US,NYSE,BBVA,Banco Bilbao Vizcaya Argentaria. - ADR,
36,US,NYSE,BBD,Banco Bradesco S.A. - ADR,
37,US,NYSE,BBDO,Banco Bradesco S.A. - ADR (Ord),
38,US,OTC,BDORY,Banco Do Brasil S.A. - ADR,
39,US,NYSE,ITCB,Banco Itau Chile. - ADR,
40,US,NYSE,BLX,Banco Latinoamericano De Comercio Exterior SA - Class E,808.22
41,US,NYSE,BMA,Banco Macro S.A. - ADR,
42,AR,,BMAAR,Banco Macro SA,
43,US,NYSE,BSBR,Banco Santander (Brasil) S.A. - ADR,
44,BR,B3,SANB11,Banco Santander Brasil SA,"221,070.40"
45,BR,B3,SANB4,Banco Santander Brasil SA (Preference),"119,805.42"
46,US,NYSE,BSAC,Banco Santander Chile SA - ADR,
47,US,NYSE,BSMX,Banco Santander Mexico S.A. - ADR,
48,MX,,BSANTM,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,
49,US,NYSE,SAN,Banco Santander S.A. - ADR,
50,ES,,SANTAN,Banco Santander SA,
51,ES,MADX,SAN,Banco Santander SA,
52,ES,,SAN27A,Banco Santander SA,
53,CL,,CHILE,Banco de Chile,
54,US,NYSE,BCH,Banco de Chile - ADR,
55,US,NYSE,CIB,Bancolombia S.A. - ADR,
56,CO,,BCOLO,Bancolombia SA,
57,US,NASDAQ,TBBK,Bancorp Inc. (The),"1,789.36"
58,US,NYSE,BXS.PRA,BancorpSouth Bank 5.50% Series A Non-Cumulative Perpetual Preferred Stock,
59,US,NASDAQ,BFC,Bank First Corp,864.49
60,US,NYSE,BAC,Bank Of America Corp.,"227,439.62"
61,US,NYSE,BK,Bank Of New York Mellon Corp,"35,029.65"
62,US,NASDAQ,BKSC,Bank Of South Carolina Corp.,76.62
63,US,NYSE,BAC.PRL,Bank of America Corp. 7.25% Preferred Perpetual Convertible Series L,
64,US,NYSE,BML.PRG,Bank of America Corp. Floating Rate Preferred Perpetual Series 1,
65,US,NYSE,BML.PRH,Bank of America Corp. Floating Rate Preferred Perpetual Series 2,
66,US,NYSE,BML.PRJ,Bank of America Corp. Floating Rate Preferred Perpetual Series 4,
67,US,NYSE,BML.PRL,Bank of America Corp. Floating Rate Preferred Perpetual Series 5,
68,US,NYSE,BAC.PRE,Bank of America Corp. Floating Rate Preferred Perpetual Series E,
69,US,NYSE,BAC.PRQ,"Bank of America Corporation De Depositary shares Non-Cumulative Preferred Stock, Series QQ",
70,US,NYSE,BAC.PRP,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of",
71,US,NYSE,BAC.PRK,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of",
72,US,NYSE,BAC.PRM,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of",
73,US,NYSE,BAC.PRO,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.",
74,US,NYSE,BAC.PRN,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.",
75,DE,FRA,42I,Bank of Commerce Holdings,
76,US,NASDAQ,BOCH,Bank of Commerce Holdings,
77,US,NYSE,BOH,Bank of Hawaii Corp.,"1,662.87"
78,US,NYSE,BOH.PRA,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 4.375,
79,US,NASDAQ,BOTJ,Bank of James Financial Group Inc,41.94
80,US,NASDAQ,BMRC,Bank of Marin Bancorp,283.22
81,US,NYSE,FNGD,Bank of Montreal - ZC SP ETN REDEEM 08/01/2038 USD 50 - Se D FNGD,
82,US,NYSE,FNGU,Bank of Montreal - ZC SP ETN REDEEM 08/01/2038 USD 50 - Ser D FNGU,
83,US,NYSE,OILD,Bank of Montreal - ZC SP ETN REDEEM 28/06/2041 USD 25 - 063679575,
84,US,NYSE,OILU,Bank of Montreal - ZC SP ETN REDEEM 28/06/2041 USD 25 - 063679583,
85,US,NYSE,WTIU,Bank of Montreal - ZC SP ETN REDEEM 29/01/2043 USD 25,
86,US,NYSE,SHNY,Bank of Montreal - ZC SP ETN REDEEM 29/01/2043 USD 25 - 063679526,
87,US,NYSE,WTID,Bank of Montreal - ZC SP ETN REDEEM 29/01/2043 USD 25 - 06368L403,
88,US,NYSE,DULL,Bank of Montreal - ZC SP ETN REDEEM 29/01/2043 USD 25 - 63679518,
89,US,NYSE,FLYU,Bank of Montreal - ZC SP ETN REDEEM 29/05/2042 USD 25,
90,US,NYSE,FLYD,Bank of Montreal - ZC SP ETN REDEEM 29/05/2042 USD 25 - 06368J101,
91,US,NYSE,NTB,Bank of N T Butterfield & Son Ltd.,"1,386.74"
92,BM,,NTBBH,Bank of NT Butterfield and Son Ltd/The,
93,CA,TSX,BNS,Bank of Nova Scotia (The),"76,623.26"
94,US,NASDAQ,BSVN,Bank7 Corp,231.00
95,US,OTC,BKGM,BankGuam Holding Co,0.28
96,US,NASDAQ,BWFG,Bankwell Financial Group Inc,188.16
97,US,NASDAQ,BANR,Banner Corp.,"1,529.95"
98,FR,,BFCM,Banque Federative du Credit Mutuel SA,
99,US,AMEX,BHB,Bar Harbor Bankshares Inc,369.05
100,GB,,BCS21D,Barclays Bank PLC,
101,US,BATS,ATMP,Barclays Bank PLC - FR SP ETN REDEEM 18/03/2043 USD 25 - Ser A,
102,US,NYSE,OIL,Barclays Bank PLC - ZC SP ETN REDEEM 18/04/2041 USD 50 - 06740P221,
103,US,BATS,VXX,Barclays Bank PLC - ZC SP ETN REDEEM 23/01/2048 USD 27.193879 - Ser A ShortTerm Futu,
104,US,NYSE,DJP,Barclays Bank PLC - ZC SP REDEEM 12/06/2036 USD 50 - 06738C778,
105,GB,,BARCCP CP 0 11/05/19,Barclays Bank plc,
106,GB,LSE,83SF,Barclays Bank plc,
107,GB,LSE,47MC,Barclays Bank plc,
108,GB,LSE,83SK,Barclays Bank plc,
109,GB,,GBF004,Barclays PLC,
110,GB,,BAR18,Barclays PLC,
111,GB,,23BM,Barclays PLC,
112,GB,,59JM,Barclays PLC,
113,GB,,94HC,Barclays PLC,
114,GB,,44BN,Barclays PLC,
115,GB,,BACR,Barclays PLC,
116,GB,LSE,BARC,Barclays PLC,"23,113.28"
117,US,OTC,BCLYF,Barclays plc,
118,US,NYSE,BCS,Barclays plc - ADR,
119,US,NASDAQ,BCML,BayCom Corp,207.14
120,US,NASDAQ,BAFN,BayFirst Financial Corp,54.88
121,US,OTC,BMBN,Benchmark Bankshares Inc.,
122,US,OTC,BERK,Berkshire Bancorp Inc,
123,US,AMEX,BRBS,Blue Ridge Bankshares Inc (VA),167.25
124,CH,SIX,BOSN,Bossard Holding AG,"1,480.80"
125,US,NASDAQ,BWB,Bridgewater Bancshares Inc,266.50
126,US,NASDAQ,BMTC,Bryn Mawr Bank Corp.,
127,US,OTC,BHRB,Burke & Herbert Financial Services Corp.,
128,US,NASDAQ,BFST,Business First Bancshares Inc.,374.48
129,US,NYSE,BY,Byline Bancorp Inc,687.82
130,US,NASDAQ,CFFI,C & F Financial Corp,187.18
131,US,NASDAQ,CBFV,CB Financial Services Inc,103.67
132,US,OTC,CCFN,CCFNB Bancorp Inc.,89.42
133,JP,,CENEXP,CENTRAL NIPPON EXPRESSWY SR UNSECURED REGS 05/21 2.362,
134,US,NASDAQ,CFBK,CF Bankshares Inc,
